wvlng	cf 1	basel	cf 2	cf 3
224,00	3,387	0,003	2,157	3,395
223,00	3,355	0,004	2,244	3,371
222,00	3,322	0,004	2,332	3,337
221,00	3,295	0,004	2,405	3,309
220,00	3,239	0,004	2,476	3,266
219,00	3,215	0,004	2,516	3,205
218,00	3,143	0,006	2,522	3,173
217,00	3,110	0,006	2,453	3,113
216,00	2,994	0,006	2,358	3,011
215,00	2,874	0,007	2,192	2,936
214,00	2,807	0,009	1,991	2,798
213,00	2,631	0,010	1,754	2,721
212,00	2,469	0,006	1,532	2,583
211,00	2,304	0,008	1,346	2,397
210,00	2,220	0,004	1,199	2,368
209,00	2,111	0,003	1,065	2,241
208,00	2,061	-0,003	1,008	2,237
207,00	2,028	0,003	0,989	2,156
206,00	1,956	-0,005	0,954	2,134
205,00	2,053	0,000	0,949	2,176
204,00	1,996	-0,008	0,941	2,136
203,00	1,958	0,004	0,912	2,122
202,00	1,995	0,007	0,933	2,127
201,00	1,961	0,019	0,936	2,158
200,00	1,900	0,014	0,900	2,094
