wvlng	cf 1	basel	cf 2	cf 3
705,00	0,207	-0,001	0,027	0,593
704,00	0,213	-0,001	0,027	0,596
703,00	0,219	-0,001	0,028	0,599
702,00	0,227	-0,001	0,028	0,603
701,00	0,235	-0,001	0,028	0,607
700,00	0,245	-0,001	0,029	0,611
699,00	0,255	-0,001	0,029	0,616
698,00	0,267	-0,001	0,030	0,621
697,00	0,282	-0,001	0,030	0,627
696,00	0,298	-0,001	0,031	0,633
695,00	0,320	-0,001	0,032	0,641
694,00	0,346	-0,001	0,033	0,650
693,00	0,376	-0,001	0,034	0,660
692,00	0,413	-0,001	0,035	0,672
691,00	0,455	-0,001	0,037	0,686
690,00	0,506	-0,001	0,039	0,702
689,00	0,567	-0,001	0,042	0,722
688,00	0,638	-0,001	0,045	0,745
687,00	0,722	-0,001	0,048	0,773
686,00	0,825	-0,001	0,053	0,808
685,00	0,938	-0,001	0,058	0,847
684,00	1,074	-0,001	0,064	0,897
683,00	1,231	-0,001	0,073	0,959
682,00	1,392	-0,001	0,082	1,025
681,00	1,578	-0,001	0,093	1,108
680,00	1,786	-0,001	0,107	1,209
679,00	1,995	-0,001	0,123	1,319
678,00	2,225	-0,001	0,141	1,451
677,00	2,459	-0,001	0,163	1,602
676,00	2,676	-0,001	0,187	1,762
675,00	2,868	-0,001	0,214	1,939
674,00	3,017	-0,001	0,243	2,126
673,00	3,117	-0,001	0,275	2,323
672,00	3,173	-0,001	0,308	2,522
671,00	3,196	-0,001	0,342	2,705
670,00	3,215	-0,001	0,375	2,862
669,00	3,222	-0,001	0,406	2,991
668,00	3,228	-0,001	0,433	3,083
667,00	3,237	-0,001	0,456	3,148
666,00	3,237	-0,001	0,473	3,188
665,00	3,243	-0,001	0,483	3,212
664,00	3,244	-0,001	0,487	3,218
663,00	3,245	-0,001	0,484	3,209
662,00	3,249	-0,001	0,475	3,189
661,00	3,250	-0,001	0,461	3,149
660,00	3,254	-0,001	0,442	3,092
659,00	3,250	-0,001	0,421	3,016
658,00	3,248	-0,001	0,396	2,916
657,00	3,240	-0,001	0,373	2,808
656,00	3,230	-0,001	0,350	2,697
655,00	3,213	-0,001	0,328	2,582
654,00	3,190	-0,001	0,309	2,476
653,00	3,154	-0,001	0,290	2,370
652,00	3,107	-0,001	0,272	2,268
651,00	3,052	-0,001	0,257	2,178
650,00	2,989	-0,001	0,244	2,097
649,00	2,920	-0,001	0,232	2,024
648,00	2,853	-0,001	0,222	1,962
647,00	2,782	-0,001	0,212	1,899
646,00	2,706	-0,001	0,204	1,841
645,00	2,633	-0,001	0,196	1,790
644,00	2,557	-0,001	0,188	1,738
643,00	2,479	-0,001	0,180	1,688
642,00	2,405	-0,001	0,173	1,642
641,00	2,329	-0,001	0,166	1,598
640,00	2,257	-0,001	0,160	1,557
639,00	2,196	-0,001	0,154	1,522
638,00	2,139	-0,001	0,149	1,490
637,00	2,089	-0,000	0,144	1,463
636,00	2,049	-0,001	0,140	1,441
635,00	2,016	-0,001	0,137	1,424
634,00	1,992	-0,001	0,134	1,411
633,00	1,976	-0,001	0,133	1,404
632,00	1,968	-0,001	0,132	1,400
631,00	1,967	-0,000	0,131	1,399
630,00	1,972	-0,000	0,131	1,402
629,00	1,980	-0,000	0,131	1,408
628,00	1,992	-0,000	0,132	1,415
627,00	2,005	-0,000	0,133	1,423
626,00	2,019	-0,000	0,134	1,433
625,00	2,033	-0,000	0,135	1,442
624,00	2,045	-0,000	0,137	1,450
623,00	2,056	-0,000	0,138	1,458
622,00	2,065	-0,000	0,138	1,465
621,00	2,073	-0,001	0,139	1,470
620,00	2,079	-0,000	0,140	1,475
619,00	2,082	-0,001	0,140	1,479
618,00	2,083	-0,000	0,140	1,481
617,00	2,081	-0,000	0,140	1,483
616,00	2,077	-0,000	0,140	1,483
615,00	2,070	-0,000	0,140	1,481
614,00	2,059	-0,000	0,139	1,478
613,00	2,047	-0,000	0,138	1,474
612,00	2,030	-0,000	0,137	1,467
611,00	2,011	-0,000	0,136	1,460
610,00	1,990	-0,000	0,134	1,451
609,00	1,965	-0,000	0,133	1,441
608,00	1,937	-0,000	0,131	1,429
607,00	1,907	-0,000	0,128	1,417
606,00	1,876	-0,000	0,126	1,404
605,00	1,844	-0,000	0,124	1,391
604,00	1,812	-0,000	0,122	1,378
603,00	1,779	-0,000	0,119	1,365
602,00	1,748	-0,000	0,117	1,353
601,00	1,719	-0,000	0,115	1,342
600,00	1,689	-0,000	0,113	1,331
599,00	1,664	-0,000	0,111	1,321
598,00	1,641	-0,000	0,110	1,313
597,00	1,622	-0,000	0,108	1,307
596,00	1,606	-0,000	0,107	1,302
595,00	1,595	-0,000	0,107	1,299
594,00	1,586	-0,000	0,106	1,298
593,00	1,581	-0,000	0,106	1,298
592,00	1,578	-0,000	0,106	1,299
591,00	1,576	-0,000	0,106	1,301
590,00	1,575	-0,000	0,106	1,304
589,00	1,575	-0,000	0,107	1,307
588,00	1,574	-0,000	0,107	1,309
587,00	1,571	-0,000	0,107	1,312
586,00	1,567	-0,000	0,107	1,313
585,00	1,561	-0,000	0,107	1,314
584,00	1,552	-0,000	0,107	1,314
583,00	1,542	-0,000	0,107	1,313
582,00	1,531	-0,000	0,106	1,312
581,00	1,517	-0,000	0,106	1,309
580,00	1,502	-0,000	0,105	1,307
579,00	1,487	-0,000	0,104	1,304
578,00	1,470	-0,000	0,104	1,301
577,00	1,453	-0,000	0,103	1,297
576,00	1,435	-0,000	0,102	1,294
